index,user_name,date,text
0,24607,2020-07-25,"If I smelled the scent of hand sanitizers today on someone in the past, I would think they were so intoxicated that… https://t.co/QZvYbrOgb0"
1,20837,2020-07-25,Hey @Yankees @YankeesPR and @MLB - wouldn't it have made more sense to have the players pay their respects to the A… https://t.co/1QvW0zgyPu
2,20775,2020-07-25,@diane3443 @wdunlap @realDonaldTrump Trump never once claimed #COVID19 was a hoax. We all claim that this effort to… https://t.co/Jkk8vHWHb3
3,23121,2020-07-25,@brookbanktv The one gift #COVID19 has give me is an appreciation for the simple things that were always around me… https://t.co/Z0pOAlFXcW
4,4936,2020-07-25,"25 July : Media Bulletin on Novel #CoronaVirusUpdates #COVID19 
@kansalrohit69 @DrSyedSehrish @airnewsalerts @ANI… https://t.co/MN0EEcsJHh"
5,25136,2020-07-25,#coronavirus #covid19 deaths continue to rise. It's almost  as bad as it ever was.  Politicians and businesses want… https://t.co/hXMHooXX2C
6,23233,2020-07-25,"How #COVID19 Will Change Work in General (and recruiting, specifically) via/ @ProactiveTalent #Recruiting… https://t.co/bjZxzGPMbK"
7,5588,2020-07-25,You now have to wear face coverings when out shopping - this includes a visit to your local Community Pharmacy… https://t.co/OSu5Q4kdd7
8,16266,2020-07-25,"Praying for good health and recovery of @ChouhanShivraj .
#covid19
#covidPositive"
9,13409,2020-07-25,"POPE AS GOD - Prophet Sadhu Sundar Selvaraj. Watch here at https://t.co/7X5RTyKVji 

#HurricaneHanna #COVID19… https://t.co/06dZcGUnwL"
10,21829,2020-07-25,"49K+ Covid19 cases still no response from 
@cbseindia29 @HRDMinistry @DrRPNishank.Please cancel the compartment exa… https://t.co/kV2ZKmumu1"
11,4754,2020-07-25,"Order here: https://t.co/4NUrGX6EmA

#logo #graphicdesigner #logodesign #logodesinger #icon  #minimalist #Abstract… https://t.co/0yPMoGqi9s"
12,17785,2020-07-25,👋🏻@PattyHajdu @NavdeepSBains — no one will be safe from #COVID19 until everyone is safe. Will you commit to ensure… https://t.co/aWCJo6eKvC
13,958,2020-07-25,"Let's all protect ourselves from #COVID19.
It's real and the numbers are climbing up fast in the Continent.
Let's n… https://t.co/byMSfxltrw"
14,5031,2020-07-25,Rajasthan Government today started a Plasma Bank at Sawai Man Singh Hospital in Jaipur for treatment of COVID-19 pa… https://t.co/cwfCcWyaDA
15,5753,2020-07-25,"Nagaland police on Covid-19 Awareness at City Tower Junction Dimapur.

#Covid19 #keepsocialdistance… https://t.co/WOvFMqhuEO"
16,4047,2020-07-25,"July 25 #COVID19 update
#TamilNadu - 6988
Discharge- 7758
People tested - 61729
Actice cases - 52273
#chennai - 1329"
17,23624,2020-07-25,Second wave of #COVID19 in Flanders..back to more #homework again... https://t.co/9swImZACMN
18,5935,2020-07-25,"It is during our darkest moments that we must focus to see the #light.~Aristotle 
https://t.co/YLlS4Kj85c… https://t.co/tFJB7l1Kaw"
19,4628,2020-07-25,COVID Update: The infection rate in Florida is following the natural curve that experts predicted if the initial cu… https://t.co/hmEwE747WK
20,20545,2020-07-25,"@EvanAKilgore @realDonaldTrump Good Patriots!
Call to Volunteer to be an Election Judge. 
Polls cannot open without… https://t.co/qA3mA4zedZ"
21,622,2020-07-25,Coronavirus - South Africa: COVID-19 update for South Africa (24 July 2020) @nicd_sa @MoetiTshidi @WHOAFRO… https://t.co/WQzAdkpXC5
22,13474,2020-07-25,"@JimBnntt Your image doesn't list a source, but I'd be careful with overall ""risk of dying"" statistics related to… https://t.co/GRjVq8vYMy"
23,3418,2020-07-25,"The first comprehensive review of #WASH &amp; #COVID19.

Analysis: key ways in which WASH can help reduce transmission… https://t.co/eCsfDmo9b4"
24,7324,2020-07-25,Holy water in times of #COVID19 https://t.co/YaZ49yxL27
25,2930,2020-07-25,"#Kolar
Need #Blood Type :  B-positive
At : Jalappa Hospital
Blood Component : Need Plasma from B+ve #COVID19 recove… https://t.co/XtgxULc02Z"
26,20131,2020-07-25,"Our Munitions Response Team in #BosniaandHerzegovina modified ops and adopted masks, disinfectants, and sanitizers… https://t.co/lMbKXlw1wQ"
27,22767,2020-07-25,I can imagine the same people profiting off the human suffering of #COVID19 will be studying these maps to make 207… https://t.co/NElsmGju2H
28,14124,2020-07-25,"#TNCoronaUpdate

#TN crosses 2 lakh mark and 1,50,055 ppp has recovered so far.

#COVID19 positive today 6988/total… https://t.co/QdJkpcc7qv"
29,25143,2020-07-25,"@ratasjuri TAX Reform

Tax-free minimum:
For a company of five hundred thousand euros per year.

Tax-free minimum:… https://t.co/gD0Q6ujjbl"
30,14085,2020-07-25,#FEMA acknowledges #PuertoRico lacks rebuilt homes and a hospital to survive #COVID19  https://t.co/PLXqKc5K5d
31,21516,2020-07-25,"Actor @VishalKOfficial and his father Mr.G.K.Reddy tested positive for #Covid19 15/20 days back..

While #Vishal 's… https://t.co/V5Lo8NRLWY"
32,2582,2020-07-25,"An update on the total #covid19 cases, recoveries, and deaths reported in countries in #Africa.  See the total numb… https://t.co/eqCJ3EhwRi"
33,1117,2020-07-25,@unionwill @megawedgy @jjhorgan “Regarding the community outbreak of #COVID19 on Haida Gwaii: 13 cases (one recover… https://t.co/rJzuY60qY7
34,20216,2020-07-25,"A safe place to visit? Here is what our guests said, ""The hotel were meticulous in applying hand sanitation and als… https://t.co/PVCji8s1Eg"
35,8673,2020-07-25,"Our CEO @RamneekHH live with @SASCO_Jikelele WSU talking about, “The effects of Covid-19 on students”.… https://t.co/VMN2LxHAds"
36,23210,2020-07-25,@NicoleKowalski5 @chrisdameanor19 I'm feeling a little anxious because #COVID19 seems to have detracted everyone's… https://t.co/A3mHdXamLg
37,21889,2020-07-25,Actionables for a healthy recovery from #COVID19 #climate  https://t.co/crGlKZOz5Z
38,14015,2020-07-25,"@jfoster2019 @bbclaurak Well #BorisJohnson might have understood more if he hadn't missed #5COBRA meeting #Five 
In… https://t.co/mQPAgCYGn2"
39,649,2020-07-25,"We released two new #COVID19 podcast episodes this week:
-Technology Platforms Used to Conduct Telehealth Visits
-C… https://t.co/G94VeYVCzk"
40,1034,2020-07-25,"#PlayYourPart in the fight against #COVID19 . Each one of us can make a difference in containing the spread, lets… https://t.co/fRzLgrS8Qf"
41,13207,2020-07-25,"Britain didn't understand #Covid19 for months, while plenty of other countries did understand it and took effective… https://t.co/KV2CAQ6skZ"
42,14261,2020-07-25,Volume for those at the back please. 🔊 #COVID19 https://t.co/d0pn2Bv2Hx
43,19819,2020-07-25,"#Delhi reports 1,142 #COVID19 positive cases and 29 deaths on Saturday. Death toll rises to 3,806, reports ANI quot… https://t.co/JxsVpWMRQS"
44,25154,2020-07-25,"@realDonaldTrump Venezuela's Economy/Budget are tied to Oil like Louisiana's. Funny how the right-wing ""example"" of… https://t.co/qvHvKlTbbv"
45,6193,2020-07-25,"#TamilNadu | #COVID19 |  25th July

●  TN - 6,988 (Highest Spike)

●  Total Cases  - 2,06,737

●  Chennai - 1,329… https://t.co/X8zgUzC0Gr"
46,12228,2020-07-25,"Why has Ruto not eulogisied Mkapa!! 
Asking for Moses Kuria 

Raila 
#RutoSwindlingGEMA 
#COVID19"
47,21977,2020-07-25,"Coronavirus Testing Fiasco: St Mirren have pledged to undertake an ""urgent review"" of their Covid-19 testing proced… https://t.co/0MCEUERQ74"
48,8774,2020-07-25,"Coronavirus Testing Fiasco: St Mirren have pledged to undertake an ""urgent review"" of their Covid-19 testing proced… https://t.co/AkxvIaD1Pr"
49,8617,2020-07-25,"#TamilNadu | #COVID19 |  25th July
●  TN - 6,988 (Highest Spike)
●  Total Cases  - 2,06,737
●  Chennai - 1,329
●  T… https://t.co/ZWFKJwZdEo"
50,8252,2020-07-25,"Coronavirus Testing Fiasco: St Mirren have pledged to undertake an ""urgent review"" of their Covid-19 testing proced… https://t.co/Ifse0whbVE"
51,20847,2020-07-25,"Coronavirus Testing Fiasco: St Mirren have pledged to undertake an ""urgent review"" of their Covid-19 testing proced… https://t.co/dx8Yt7CvsM"
52,18202,2020-07-25,"Coronavirus Testing Fiasco: St Mirren have pledged to undertake an ""urgent review"" of their Covid-19 testing proced… https://t.co/h7p44XIzuk"
53,621,2020-07-25,"Testing per 10 lakh population in Jammu and Kashmir has reached 44,744 as against 12,742 in the country; Recovery r… https://t.co/jmxhF67V5V"
54,7220,2020-07-25,"Coronavirus Testing Fiasco: St Mirren have pledged to undertake an ""urgent review"" of their Covid-19 testing proced… https://t.co/bfel6gyXIq"
55,8252,2020-07-25,"Coronavirus Testing Fiasco: St Mirren have pledged to undertake an ""urgent review"" of their Covid-19 testing proced… https://t.co/eu5g2djZYx"
56,2538,2020-07-25,.@nytimes reporting that yesterday 1145 people died of #COVID19 in the USA. Over 73K new cases were reported. Serio… https://t.co/sFwP0v7FEB
57,3406,2020-07-25,Crazy that the world has come to this but as Americans we will fight to get through this!🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸 #covid19
58,15935,2020-07-25,@jimsciutto @JoAnnBaldwin55 People whose relatives have died from #COVID19 should file a class action lawsuit against Sinclair Broadcasting.
59,4635,2020-07-25,"US #CoronaVirus: 4,249,584 cases and 148,521 deaths reported in the United States to date.

1,257 new cases and 31… https://t.co/j4TreMnKW5"
60,63,2020-07-25,"#IndiaFightsCorona :

📍 Do you agree that a mask is one of the most powerful accessories we have to fight against t… https://t.co/5VauORkmjG"
61,24607,2020-07-25,I miss isopropyl alcohol so much!!!! Ethanol in hand sanitizer smells like I poured tequila on my hands 🤢 #COVID19
62,8142,2020-07-25,GVMC sanitation staff carrying out the regular sanitation activities to keep the city clean and prevent the spread… https://t.co/bkrQ5x6BCK
63,10958,2020-07-25,@SonuSood sir mom is in ICU due to COVID just want prayers from you and everyone who is listening you . #COVID19
64,9990,2020-07-25,Due to #COVID19 aka #Coronavirus Ill be sending the first 500 people to like &amp; retweet this $300 -$1500 through Cas… https://t.co/3MkuUsGBDk
65,3987,2020-07-25,"This video had me in stitches
https://t.co/tadF3G6qKJ #obesity #زواج_راكان_الحربي #carryminati #my200vsbutch200… https://t.co/fsZ8NTuVDg"
66,13225,2020-07-25,"See this Instagram post by @facts.covid19 https://t.co/glmd51L1OJ 
facts.covid19 Deaths rates not rising in lockste… https://t.co/SeZieeSxAk"
67,19320,2020-07-25,"Local government sales tax revenue dropped 27 percent year-to-year in the second quarter, thanks to #COVID19 shutdo… https://t.co/oDky9LzrV5"
68,22710,2020-07-25,Look at Lil’ Donny Micro Dick go!! What an astounding achievement of brilliance + cognitive capabilities. Somebody… https://t.co/82aEo6gL3q
